ID,model_ID,model,B_0,B_1,B_2,B_3,N_max,N_0,r_max,t_lag,AIC/AIC_c,BIC,R_2
3,2,quadratic,-1.3525005441591365,0.0145074587810709,-9.322909238325171e-05,0.0,0.0,0.0,0.0,0.0,-40.20260423493317,-37.55222161234251,-0.14499517529426842
3,3,cubic,-1.4887598782175204,0.03889620354135204,-0.0005696658545240565,2.2449167280220364e-06,0.0,0.0,0.0,0.0,-46.871702101540365,-45.33145109602931,0.35369975496752537
3,4,logistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5,gompertz,0.0,0.0,0.0,0.0,-0.9394325671420114,-1.8611213304397372,0.3017359269420036,0.11822206256747814,-71.49243615285872,-69.95218514734766,0.8679051614015716
3,6,baranyi,0.0,0.0,0.0,0.0,-0.9402926742555012,-1.8284613603259392,0.46905679218847945,1.259888189454546,-71.79999725731251,-70.25974625180146,0.8705521153201216
3,7,buchanan,0.0,0.0,0.0,0.0,-0.942791699950607,-2.0934773365552957,0.21061209229441233,-3.5377504398384207,-71.64522170125056,-70.10497069573951,0.8691156302281772
4,1,linear,-1.56810286753192,0.0005196901480350161,0.0,0.0,0.0,0.0,0.0,0.0,-209.47466929624898,-203.83432026782802,0.663085427900129
4,2,quadratic,-1.6801475393862202,0.0015653388480992502,-1.5601137864363905e-06,0.0,0.0,0.0,0.0,0.0,-242.94387513320657,-236.43469181326068,0.9014384510622606
4,3,cubic,-1.7161244040366983,0.0022804899280530317,-4.28012519712063e-06,2.704843371764942e-09,0.0,0.0,0.0,0.0,-240.16441779471455,-232.99460531144885,0.901175661365959
4,4,logistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5,gompertz,0.0,0.0,0.0,0.0,-1.2937035865468935,-548.6614169470973,3.206371032686499,-1173.6400940124772,-239.14362818061713,-231.97381569735143,0.8976369439792011
4,6,baranyi,0.0,0.0,0.0,0.0,-0.9402926742555012,-1.8284613603259392,0.46905679218847945,1.259888189454546,0.0,0.0,0.0
4,7,buchanan,0.0,0.0,0.0,0.0,-1.3060848479877034,-4.636857946143456,0.002554584872490189,-2683.480682869259,-236.2781801920382,-229.1083677087725,0.8870642982874897
5,1,linear,-0.9305000989391422,0.0006840173100386252,0.0,0.0,0.0,0.0,0.0,0.0,-36.32234850576231,-31.680800093055776,-0.6863942919589685
5,2,quadratic,-1.1808304764706028,0.0043776105959575816,-7.943151148492766e-06,0.0,0.0,0.0,0.0,0.0,-36.94702179275289,-31.916185312652964,-0.8691376399526838
5,3,cubic,-1.369605186216378,0.010748123459357307,-4.329981161356338e-05,4.995308372498847e-08,0.0,0.0,0.0,0.0,-50.79094498820914,-45.68867389788815,-0.0011940103329202145
5,4,logistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,gompertz,0.0,0.0,0.0,0.0,-0.6895200266256128,-2501.342801748159,224.66010435348045,-81.26931715310332,-86.28363215306138,-81.1813610627404,0.7855631532286148
5,6,baranyi,0.0,0.0,0.0,0.0,11.937215048341374,-0.7736198742123799,-0.050422808972012775,-10499.01763566064,-49.02884381097656,-43.92657272065557,0.23871637531023782
5,7,buchanan,0.0,0.0,0.0,0.0,-0.599755737937468,-1.8903797671264237,0.001575008077063873,-1403.2972909423115,-30.60098165179118,-25.498710561470187,-0.686394344761913
6,1,linear,-1.1930027448433427,0.0026616839786248376,0.0,0.0,0.0,0.0,0.0,0.0,-10.86605840343983,-8.039795505503145,-1.1057608958603877
6,2,quadratic,-1.3529888568768893,0.020063275293381717,-0.0001361552568530475,0.0,0.0,0.0,0.0,0.0,-31.602705342982937,-29.4464760245219,0.2893024294418588
6,3,cubic,-1.471233206925229,0.04400111490155129,-0.0006121707778264753,2.260338337866201e-06,0.0,0.0,0.0,0.0,-41.097640225950755,-40.34679802231891,0.7101811582040893
6,4,logistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,5,gompertz,0.0,0.0,0.0,0.0,-0.8451923498791613,-2.0000598988563345,0.2570103910457704,-2.8870303024072856,-37.811093408807025,-37.06025120517518,0.6458586793016622
6,6,baranyi,0.0,0.0,0.0,0.0,-0.8452880435559593,-1.6759589924490537,0.314365710161646,-0.02613744872763226,-37.9143669060915,-37.163524702459654,0.6482380406342692
6,7,buchanan,0.0,0.0,0.0,0.0,-0.8464306815412824,-4.423071447142385,0.1767113847789497,-36.45235712488554,-37.72066050852942,-36.96981830489757,0.6429810200084969
7,1,linear,-1.0514523012727868,0.006373158090502419,0.0,0.0,0.0,0.0,0.0,0.0,-9.294145837571701,-5.899456593929282,0.1298186747636385
7,2,quadratic,-1.1654986476898586,0.01927824296476568,-0.00010129208031833086,0.0,0.0,0.0,0.0,0.0,-12.270141074053317,-9.179786185094192,0.33647519972609385
